Distance_(pixels),Gray_Value
0,99.6440
1,97.1378
2,98.7740
3,99.0697
4,100.5557
5,100.1115
6,98.6687
7,98.7523
8,97.5635
9,98.9752
10,97.0511
11,98.0820
12,99.7570
13,97.9334
14,99.5913
15,98.3622
16,100.7523
17,100.8529
18,100.1455
19,98.8916
20,96.6904
21,99.1842
22,101.3344
23,101.3313
24,100.0155
25,100.6935
26,99.1656
27,96.4938
28,100.4520
29,100.8498
30,99.6223
31,96.7276
32,98.1145
33,100.6037
34,100.9211
35,100.1161
36,100.8344
37,101.5139
38,98.7198
39,99.3994
40,100.3081
41,98.9783
42,99.7260
43,101.0263
44,99.7895
45,101.1192
46,99.7415
47,101.6207
48,102.2028
49,100.8855
50,99.7523
51,101.3793
52,102.6115
53,100.8437
54,100.0929
55,100.6687
56,100.5031
57,103.5263
58,99.8173
59,99.7879
60,99.3731
61,101.6115
62,102.0913
63,104.1022
64,101.5294
65,103.7043
66,103.0217
67,100.2508
68,100.6486
69,104.5882
70,101.9025
71,103.6687
72,99.0851
73,103.4582
74,102.1161
75,101.4272
76,99.3932
77,103.1858
78,102.3096
79,100.4783
80,102.0604
81,102.8313
82,103.9954
83,104.8282
84,103.9876
85,101.2601
86,102.2492
87,104.3313
88,106.5108
89,108.1440
90,110.7430
91,105.9396
92,102.2105
93,103.8034
94,103.5062
95,103.6455
96,103.4551
97,101.6842
98,103.5464
99,104.3421
100,102.5820
101,101.1130
102,104.2570
103,105.7012
104,102.5929
105,103.7214
106,103.7786
107,107.0372
108,114.2740
109,113.7740
110,110.1563
111,103.1641
112,105.7570
113,104.8452
114,103.2771
115,103.6409
116,102.9396
117,103.1022
118,102.0944
119,106.3421
120,104.4489
121,105.0619
122,104.2585
123,104.3545
124,105.0495
125,104.6687
126,103.2802
127,108.7461
128,111.4118
129,112.2074
130,107.5310
131,107.6486
132,105.7740
133,104.2817
134,105.9025
135,109.1656
136,109.3638
137,109.8467
138,106.6656
139,105.1316
140,105.5155
141,106.4598
142,104.5851
143,106.4737
144,104.8235
145,108.3824
146,112.6053
147,114.7988
148,112.7632
149,108.6115
150,108.0217
151,111.7059
152,115.6718
153,113.9474
154,108.8715
155,106.2012
156,106.4180
157,108.2508
158,106.7074
159,110.4334
160,107.5062
161,114.0015
162,114.8870
163,112.1455
164,109.0279
165,107.1362
166,109.5015
167,112.0372
168,112.7461
169,110.7430
170,109.0031
171,109.0867
172,107.9799
173,110.8235
174,107.0944
175,107.1873
176,111.8344
177,114.0697
178,112.5310
179,106.9536
180,105.0635
181,109.7709
182,109.8111
183,112.1300
184,111.7972
185,108.3081
186,109.0356
187,106.9489
188,108.1068
189,105.7941
190,107.5325
191,106.1331
192,112.2848
193,115.5929
194,119.3019
195,115.8452
196,110.7988
197,109.8127
198,108.8050
199,109.9226
200,108.9536
201,110.0681
202,109.7988
203,112.1734
204,111.3947
205,117.2012
206,117.1517
207,118.1734
208,111.9536
209,108.6827
210,110.4040
211,111.7492
212,110.1068
213,110.7337
214,112.0697
215,109.7554
216,113.9954
217,116.1455
218,116.0031
219,113.3452
220,111.9056
221,110.2910
222,110.1610
223,110.6703
224,110.2028
225,108.4334
226,109.4644
227,108.1502
228,109.5031
229,114.9149
230,112.8297
231,112.0650
232,112.2833
233,111.0805
234,110.7585
235,111.9659
236,109.6718
237,111.1548
238,117.3808
239,119.6981
240,117.4659
241,114.6099
242,111.7260
243,110.7539
244,110.9489
245,113.7245
246,121.7291
247,122.9644
248,121.2012
249,116.2740
250,114.8653
251,112.2214
252,113.9211
253,115.9350
254,123.0077
255,124.5449
256,121.2415
257,115.5170
258,116.4257
259,115.1625
260,113.2090
261,112.6393
262,118.7709
263,120.8111
264,114.8034
265,115.3204
266,114.3591
267,113.4768
268,113.3978
269,115.2152
270,115.4149
271,114.1378
272,114.7926
273,115.6718
274,113.3328
275,111.2632
276,116.2399
277,115.6703
278,115.0449
279,112.9071
280,114.6858
281,114.9365
282,114.8142
283,114.6006
284,110.5263
285,112.5511
286,111.1192
287,113.3653
288,113.8282
289,117.3731
290,119.9505
291,116.5588
292,116.0635
293,123.7740
294,128.0774
295,125.3715
296,117.5279
297,119.7121
298,131.5836
299,131.3220
300,124.5882
301,121.5604
302,125.7090
303,130.9040
304,132.4845
305,128.4489
306,126.3220
307,129.9582
308,133.6842
309,130.6471
310,122.2879
311,127.0124
312,128.2074
313,121.2771
314,115.8251
315,120.0697
316,118.7693
317,114.5820
318,116.4149
319,116.0975
320,113.7910
321,118.6254
322,116.8576
323,117.4226
324,117.3483
325,115.2477
326,117.4985
327,120.3638
328,117.7446
329,118.3994
330,119.2121
331,116.2477
332,118.5805
333,117.5418
334,117.6796
335,118.0960
336,120.1687
337,120.5960
338,118.1842
339,118.6362
340,121.8669
341,128.6084
342,131.6858
343,127.8591
344,123.7121
345,124.0248
346,124.2399
347,124.2693
348,123.2647
349,129.4938
350,137.2755
351,146.0232
352,159.5000
353,146.0557
354,137.2105
355,129.5372
356,123.2755
357,124.2740
358,124.2012
359,124.0882
360,123.8065
361,127.9303
362,131.7477
363,128.5294
364,121.6780
365,118.5279
366,118.1300
367,120.6827
368,119.9009
369,117.9319
370,117.7214
371,117.4582
372,118.5991
373,116.3313
374,119.2678
375,118.4396
376,117.6610
377,120.4381
378,117.6889
379,115.2879
380,117.4659
381,117.5062
382,117.0062
383,118.4272
384,113.8498
385,116.0449
386,116.3808
387,114.6765
388,118.7709
389,119.8406
390,115.8932
391,121.3220
392,128.4489
393,126.9768
394,122.2461
395,130.5325
396,133.5093
397,129.9412
398,126.5805
399,128.3901
400,132.5681
401,130.8235
402,125.8111
403,121.5139
404,124.6115
405,131.2740
406,131.6440
407,119.7740
