Distance_(pixels),Gray_Value
0,100.1470
1,100.9438
2,100.7320
3,100.8271
4,100.7450
5,99.4568
6,99.4870
7,101.9611
8,100.7896
9,100.3876
10,101.5591
11,100.2118
12,102.2738
13,99.6268
14,101.5634
15,101.1239
16,101.9856
17,102.2435
18,99.5288
19,101.6671
20,101.2378
21,100.9006
22,101.7104
23,101.2277
24,101.1960
25,99.8631
26,101.2565
27,100.6182
28,101.3199
29,101.2046
30,102.7738
31,100.5980
32,100.6844
33,101.6902
34,101.0807
35,102.4063
36,101.7666
37,102.0605
38,99.6671
39,100.8963
40,100.0086
41,99.4726
42,102.1210
43,102.2104
44,102.0259
45,100.3084
46,101.4914
47,100.7450
48,101.7882
49,101.1571
50,102.1254
51,102.1974
52,102.8285
53,104.2651
54,104.4164
55,100.3674
56,103.8199
57,102.9827
58,104.2795
59,102.2233
60,102.7392
61,100.1859
62,104.1369
63,102.0865
64,103.9294
65,102.8285
66,101.3919
67,101.8444
68,104.0317
69,103.9366
70,103.7522
71,101.3501
72,101.5014
73,101.0101
74,102.1556
75,99.8372
76,103.1902
77,104.1412
78,103.3184
79,101.0620
80,102.7392
81,101.7334
82,102.5375
83,102.1225
84,105.2695
85,104.0389
86,103.4207
87,104.0778
88,104.3617
89,103.7219
90,103.4726
91,102.7867
92,102.5821
93,103.8256
94,102.6643
95,102.4640
96,104.4971
97,105.5677
98,102.4135
99,104.6110
100,105.2147
101,104.1210
102,104.5418
103,102.2839
104,102.7406
105,104.0533
106,104.4928
107,103.4092
108,103.1960
109,102.8156
110,104.9769
111,103.5231
112,103.3588
113,104.7608
114,105.9121
115,103.4452
116,105.7478
117,102.9654
118,105.1873
119,104.6499
120,104.9280
121,104.4193
122,103.1210
123,103.8660
124,102.4164
125,104.9510
126,104.3473
127,104.6110
128,105.5591
129,104.4524
130,105.7147
131,105.2118
132,104.3919
133,105.3631
134,104.0331
135,107.1671
136,106.8141
137,106.9712
138,104.6916
139,108.6427
140,108.9467
141,106.2349
142,106.4741
143,105.8991
144,102.6787
145,105.5922
146,105.2493
147,103.5922
148,105.1787
149,105.1931
150,106.3617
151,106.3069
152,105.4236
153,107.1671
154,103.2781
155,107.0576
156,107.5865
157,105.6383
158,106.3991
159,111.1254
160,111.8804
161,109.9841
162,107.5605
163,105.6916
164,106.6470
165,107.6945
166,107.6009
167,105.9467
168,106.6614
169,104.1902
170,105.2666
171,105.3977
172,105.7738
173,106.4813
174,107.1960
175,108.3401
176,107.8444
177,106.7262
178,107.9467
179,113.3775
180,114.8040
181,112.2233
182,108.0793
183,109.0014
184,106.7277
185,106.8055
186,107.1210
187,107.2968
188,107.3228
189,107.4107
190,107.6499
191,108.2349
192,106.4683
193,105.9625
194,105.0231
195,105.8285
196,106.5591
197,105.2190
198,111.0331
199,114.1354
200,112.7392
201,108.3199
202,109.0980
203,106.7968
204,108.0764
205,104.7695
206,111.3703
207,113.1326
208,107.7450
209,106.1700
210,107.4899
211,107.7046
212,108.1844
213,109.3516
214,107.2478
215,106.2911
216,111.3386
217,112.7738
218,113.3963
219,115.0793
220,108.9424
221,106.8890
222,111.8026
223,113.7795
224,113.7709
225,109.2205
226,109.3890
227,109.0764
228,105.9280
229,110.4510
230,108.8242
231,111.3617
232,117.2104
233,116.2450
234,111.8343
235,109.4899
236,110.0519
237,110.7550
238,111.3415
239,111.9510
240,110.7579
241,107.6729
242,109.0951
243,110.2464
244,110.4395
245,108.6960
246,110.0749
247,110.8847
248,112.8213
249,112.5144
250,108.2939
251,109.8458
252,107.8228
253,110.0548
254,113.6124
255,113.2320
256,111.9251
257,110.4193
258,110.5576
259,110.7262
260,109.0115
261,108.6686
262,109.5403
263,110.6066
264,114.6801
265,115.7075
266,117.0850
267,113.3646
268,110.8948
269,111.2061
270,109.8588
271,110.0389
272,111.0749
273,110.5202
274,108.7896
275,112.3473
276,117.6816
277,120.9207
278,116.5533
279,111.6542
280,112.0836
281,110.3473
282,111.6354
283,112.2291
284,112.3127
285,112.2550
286,109.9409
287,110.4669
288,115.9553
289,118.9323
290,112.5605
291,111.7997
292,111.7104
293,110.2795
294,113.2075
295,111.5749
296,112.4784
297,111.7925
298,112.8256
299,111.8559
300,114.8170
301,113.4625
302,115.3862
303,113.3732
304,109.4380
305,111.6758
306,112.8991
307,112.3415
308,112.0331
309,116.7565
310,117.6196
311,118.3602
312,113.2983
313,111.6657
314,113.3501
315,112.6167
316,114.6729
317,121.8084
318,124.3660
319,120.3444
320,114.4121
321,113.9135
322,114.4971
323,115.8790
324,116.2752
325,121.8890
326,124.6614
327,117.5980
328,115.0418
329,114.8530
330,114.3199
331,114.5159
332,113.4885
333,118.9308
334,121.1124
335,114.7983
336,115.5043
337,111.9121
338,113.5476
339,112.5058
340,115.3069
341,114.6527
342,112.9971
343,113.6455
344,112.3343
345,113.5576
346,113.5778
347,113.8746
348,115.1455
349,113.4654
350,113.8458
351,113.0807
352,116.0720
353,115.5994
354,114.3732
355,111.5648
356,113.6758
357,112.4135
358,114.5115
359,116.2147
360,117.6585
361,119.9409
362,116.9597
363,114.4236
364,122.1254
365,127.2680
366,125.4640
367,118.4669
368,121.9438
369,130.2781
370,131.5721
371,123.6643
372,121.5735
373,126.3991
374,129.1671
375,128.9164
376,128.5187
377,126.2176
378,127.9741
379,132.2219
380,129.3300
381,121.1369
382,123.0605
383,127.1571
384,119.8184
385,116.8473
386,120.8991
387,119.5101
388,114.8329
389,115.4669
390,114.4769
391,115.8285
392,117.7622
393,118.2853
394,117.1873
395,117.4755
396,115.2983
397,119.8127
398,116.2954
399,117.2709
400,118.9914
401,119.4395
402,118.4914
403,118.6326
404,118.3718
405,116.7334
406,116.8357
407,117.7046
408,118.2406
409,118.3084
410,119.6830
411,122.3501
412,127.5447
413,130.8372
414,128.1571
415,124.2118
416,120.5216
417,122.3761
418,122.0086
419,121.8357
420,121.2695
421,122.0072
422,131.9741
423,157.7075
424,132.2695
425,122.1340
426,121.3775
427,121.9121
428,122.0980
429,122.4265
430,120.5187
431,124.1945
432,128.3285
433,130.7882
434,127.2839
435,122.5735
436,119.7839
437,118.3718
438,118.0764
439,117.4669
440,116.6844
441,116.5562
442,117.9020
443,118.5937
444,118.5288
445,119.3631
446,119.0692
447,117.1369
448,116.3948
449,120.0274
450,115.4611
451,117.8660
452,117.0994
453,118.3991
454,117.6988
455,115.3890
456,114.6081
457,115.3170
458,114.9020
459,119.7262
460,120.9323
461,116.9395
462,120.0173
463,126.8804
464,123.2032
465,121.2190
466,129.5087
467,132.3919
468,128.2320
469,126.3501
470,128.3357
471,128.6109
472,129.0620
473,126.3718
474,121.7392
475,123.8055
476,131.4424
477,130.4150
478,122.0418
479,118.3948
480,125.3026
481,127.1441
482,121.8271
483,114.2305
484,117.0014
485,120.0014
486,117.4654
487,116.1844
488,114.5231
