t	X1	Y1	X2	Y2
s	m	m	m	m
 0,0000000000	-0,0005357143	-0,0008928572	 0,0044642859	-0,0075000003
 0,0050760135	-0,0005357143	-0,0008928572	 0,0044642859	-0,0075000003
 0,0101520270	-0,0005357143	-0,0008928572	 0,0044642859	-0,0076785716
 0,0152280396	-0,0005357143	-0,0007142858	 0,0044642859	-0,0075000003
 0,0203040540	-0,0005357143	-0,0007142858	 0,0044642859	-0,0075000003
 0,0253800675	-0,0005357143	-0,0007142858	 0,0044642859	-0,0075000003
 0,0304560792	-0,0005357143	-0,0007142858	 0,0044642859	-0,0075000003
 0,0355320945	-0,0005357143	-0,0007142858	 0,0044642859	-0,0075000003
 0,0406081080	-0,0003571429	-0,0005357143	 0,0044642859	-0,0075000003
 0,0456841215	-0,0005357143	-0,0005357143	 0,0044642859	-0,0075000003
 0,0507601351	-0,0005357143	-0,0005357143	 0,0044642859	-0,0075000003
 0,0558361448	-0,0005357143	-0,0003571429	 0,0044642859	-0,0075000003
 0,0609121583	-0,0003571429	-0,0003571429	 0,0042857141	-0,0073214290
 0,0659881756	-0,0001785714	-0,0003571429	 0,0042857141	-0,0073214290
 0,0710641891	-0,0001785714	-0,0003571429	 0,0044642859	-0,0075000003
 0,0761402026	-0,0001785714	-0,0001785714	 0,0044642859	-0,0075000003
 0,0812162161	-0,0001785714	-0,0000000000	 0,0044642859	-0,0075000003
 0,0862922296	-0,0001785714	-0,0000000000	 0,0044642859	-0,0075000003
 0,0913682431	-0,0001785714	-0,0000000000	 0,0044642859	-0,0075000003
 0,0964442566	 0,0000000000	-0,0000000000	 0,0044642859	-0,0075000003
 0,1015202701	 0,0000000000	-0,0000000000	 0,0044642859	-0,0075000003
 0,1065962836	 0,0001785714	-0,0000000000	 0,0044642859	-0,0075000003
 0,1116722897	 0,0001785714	 0,0001785714	 0,0044642859	-0,0075000003
 0,1167483032	 0,0001785714	 0,0003571429	 0,0044642859	-0,0075000003
 0,1218243167	 0,0001785714	 0,0005357143	 0,0044642859	-0,0075000003
 0,1269003302	 0,0003571429	 0,0005357143	 0,0044642859	-0,0075000003
 0,1319763511	 0,0003571429	 0,0007142858	 0,0044642859	-0,0075000003
 0,1370523572	 0,0003571429	 0,0008928572	 0,0044642859	-0,0075000003
