Distance_(pixels),Gray_Value
0,932.000
1,899.650
2,887.533
3,887.299
4,897.664
5,896.000
6,912.905
7,921.635
8,921.869
9,922.949
10,909.664
11,901.139
12,914.803
13,920.000
14,890.365
15,868.496
16,888.526
17,904.058
18,904.000
19,928.000
20,920.000
21,876.905
22,884.292
23,903.883
24,896.000
25,901.839
26,904.000
27,896.000
28,912.000
29,905.226
30,896.993
31,895.620
32,895.737
33,911.854
34,927.942
35,895.387
36,863.387
37,856.321
38,871.124
39,894.336
40,901.985
41,901.635
42,880.905
43,869.109
44,869.693
45,886.277
46,906.978
47,903.445
48,880.000
49,878.277
50,902.161
51,926.394
52,911.708
53,896.000
54,897.080
55,877.577
56,869.460
57,877.314
58,883.095
59,899.562
60,905.985
61,878.628
62,864.204
63,888.788
64,886.628
65,862.861
66,887.416
67,919.650
68,880.000
69,859.825
70,911.299
71,936.000
72,913.635
73,895.679
74,884.642
75,883.241
76,883.124
77,898.044
78,905.343
79,880.321
80,890.657
81,895.620
82,860.117
83,851.387
84,878.482
85,863.708
86,856.000
87,885.518
88,898.336
89,918.423
90,933.022
91,902.628
92,881.255
93,904.029
94,921.869
95,896.905
96,880.788
97,898.015
98,891.328
99,927.124
100,903.036
101,848.818
102,880.175
103,912.088
104,936.584
105,929.577
106,928.000
107,917.518
108,871.387
109,856.000
110,872.847
111,908.146
112,920.438
113,873.197
114,865.314
115,901.139
116,912.000
117,929.664
118,931.562
119,920.000
120,884.029
121,864.526
122,901.752
123,880.000
124,859.036
125,901.606
126,928.000
127,927.504
128,932.204
129,928.000
130,950.453
131,973.606
132,963.504
133,960.934
134,961.401
135,944.934
136,951.299
137,984.000
138,1007.533
139,1006.599
140,985.547
141,974.131
142,968.000
143,953.401
144,929.635
145,942.803
146,925.898
147,890.832
148,911.854
149,906.394
150,886.891
151,888.000
152,872.993
153,859.182
154,862.102
155,867.387
156,870.219
157,875.007
158,862.190
159,876.292
160,913.431
161,894.803
162,864.642
163,870.745
164,896.847
165,896.000
166,913.226
167,922.482
168,897.139
169,896.000
170,919.708
171,911.942
172,856.088
173,880.613
174,919.358
175,895.124
176,870.336
177,853.985
178,877.635
179,899.620
180,914.044
181,906.307
182,888.000
183,918.628
184,901.022
185,846.423
186,848.613
187,902.161
188,940.263
189,923.562
190,918.482
191,931.241
192,919.036
193,890.920
194,855.971
195,859.095
196,872.672
197,859.007
198,825.372
199,819.241
200,865.285
201,882.423
202,878.365
203,878.832
204,883.124
205,904.117
206,903.766
207,887.650
208,880.584
209,877.226
210,894.949
211,904.788
212,873.723
213,849.752
214,870.978
215,901.109
216,888.000
217,866.657
218,864.000
219,878.307
220,900.467
221,890.190
222,880.292
223,889.956
224,878.161
225,882.832
226,908.788
227,899.533
228,885.255
229,885.489
230,875.445
231,867.066
232,896.905
233,911.212
234,902.657
235,893.781
236,896.438
237,911.036
238,910.569
239,888.000
240,848.088
241,857.168
242,874.102
243,896.759
244,903.007
245,894.774
246,901.080
247,867.766
248,845.109
249,884.759
250,904.818
251,888.117
252,886.569
253,915.358
254,919.679
255,880.000
256,894.102
257,929.956
258,922.131
259,926.745
260,934.540
261,912.555
262,882.803
263,877.139
264,893.168
265,919.153
266,907.737
267,891.182
268,918.599
269,924.584
270,916.467
271,899.650
272,904.467
273,907.883
274,864.000
275,844.584
276,856.467
277,857.401
278,875.737
279,885.752
280,897.401
281,910.453
282,910.131
283,912.847
284,921.839
285,925.139
286,904.000
287,893.518
288,891.270
289,900.759
290,913.606
291,898.073
292,912.000
293,903.095
294,881.343
295,881.810
296,857.431
297,888.000
298,913.197
299,925.839
300,917.109
301,888.847
302,923.620
303,924.934
304,896.496
305,920.000
306,927.474
307,895.708
308,888.000
309,880.175
310,880.613
311,887.358
312,911.124
313,919.445
314,895.328
315,880.000
316,873.810
317,908.934
318,937.168
319,925.489
320,922.511
321,903.066
322,884.759
323,907.942
324,902.161
325,899.912
326,907.854
327,891.620
328,864.000
