Distance_(pixels),Gray_Value
0,896.000
1,918.090
2,891.091
3,902.378
4,905.481
5,880.825
6,912.867
7,916.881
8,897.007
9,880.926
10,904.734
11,878.142
12,900.789
13,880.843
14,859.356
15,872.265
16,920.102
17,935.790
18,914.991
19,908.578
20,916.413
21,921.759
22,923.692
23,918.820
24,926.895
25,922.112
26,901.950
27,891.357
28,934.881
29,923.186
30,887.359
31,899.694
32,943.021
33,919.680
34,889.895
35,951.301
36,946.271
37,913.904
38,900.183
39,944.578
40,955.751
41,939.460
42,911.218
43,876.567
44,869.396
45,895.403
46,897.979
47,869.103
48,883.047
49,890.219
50,887.258
51,876.572
52,871.934
53,871.315
54,912.669
55,943.680
56,900.081
57,905.961
58,881.330
59,936.133
60,927.703
61,935.333
62,986.305
63,980.551
64,963.254
65,919.405
66,913.302
67,912.000
68,934.601
69,921.595
70,911.336
71,923.757
72,916.543
73,927.028
74,925.889
75,896.000
76,914.222
77,912.154
78,872.595
79,907.620
80,907.334
81,846.492
82,841.479
83,852.719
84,888.577
85,852.842
86,866.444
87,875.500
88,856.118
89,880.725
90,892.468
91,907.983
92,895.409
93,878.169
94,891.795
95,870.673
96,881.620
97,927.365
98,936.457
99,926.840
100,922.350
101,885.545
102,902.510
103,906.800
104,916.926
105,932.629
106,928.477
107,909.909
108,826.365
109,902.409
110,932.414
111,960.806
112,906.651
113,936.189
114,954.859
115,923.764
116,908.102
117,915.686
118,918.210
119,957.870
120,931.748
121,914.663
122,932.877
123,908.274
124,894.130
125,916.266
126,916.691
127,893.021
128,910.621
129,947.707
130,906.678
131,905.708
132,888.331
133,888.902
134,918.981
135,919.693
136,841.595
137,878.288
138,914.522
139,903.090
140,879.862
141,903.063
142,918.235
143,898.000
144,931.609
145,948.325
146,956.396
147,944.924
148,935.728
149,917.709
150,906.888
151,925.498
152,927.449
153,917.318
154,945.846
155,953.331
156,978.380
157,944.797
158,959.684
159,955.669
160,947.175
161,948.209
162,959.408
163,994.065
164,1061.076
165,1090.497
166,1177.349
167,1274.668
168,1330.573
169,1327.488
170,1346.124
171,1312.221
172,1192.467
173,1163.137
174,1144.275
175,1117.534
176,1184.355
177,1390.918
178,1545.213
179,1646.364
180,1829.909
181,1879.695
182,1951.901
183,1894.873
184,1760.760
185,1488.705
186,1229.681
187,1104.213
188,1143.926
189,1294.581
190,1689.712
191,2436.806
192,3422.518
193,4616.383
194,5893.148
195,7292.297
196,8785.931
197,10289.632
198,11526.864
199,12423.683
200,12775.827
201,12797.771
202,12281.563
203,11499.010
204,10404.819
205,9094.475
206,7485.839
207,5992.616
208,4762.413
209,3517.444
210,2540.844
211,1827.298
212,1396.211
213,1278.884
214,1200.067
215,1254.545
216,1380.199
217,1475.903
218,1508.757
219,1505.860
220,1398.107
221,1246.893
222,1142.879
223,1075.476
224,1072.012
225,1026.877
226,1016.657
227,1030.797
228,1059.851
229,1061.214
230,1074.530
231,1002.615
232,1056.623
233,1069.292
234,1012.595
235,1036.150
236,1003.188
237,993.763
238,1010.768
239,1026.640
240,1013.512
241,980.191
242,968.308
243,940.160
244,955.469
245,991.060
246,962.334
247,930.578
248,923.560
249,940.776
250,943.010
251,921.460
252,885.882
253,909.479
254,930.909
255,913.969
256,880.895
257,903.969
258,947.230
259,893.376
260,885.157
261,939.944
262,953.532
263,938.005
264,923.858
265,903.877
266,889.428
267,872.783
268,886.167
269,883.297
270,899.459
271,891.398
272,872.895
273,922.777
274,919.996
275,892.095
276,906.471
277,937.154
278,899.481
279,935.140
280,924.833
281,898.650
282,907.245
283,955.210
284,893.046
285,925.634
286,938.000
287,939.400
288,906.228
289,911.245
290,923.831
291,886.472
292,873.617
293,872.280
294,891.555
295,907.994
296,892.787
297,906.757
298,890.215
299,924.595
300,897.874
301,906.643
302,880.410
303,878.525
304,943.798
305,938.468
306,936.866
307,911.697
308,876.166
309,889.489
310,877.899
311,890.125
312,882.843
313,859.314
314,902.753
315,902.337
316,903.552
317,910.864
318,896.905
319,891.112
320,900.968
321,916.827
322,876.343
323,879.715
324,884.840
325,880.694
326,876.087
327,886.493
328,927.526
329,917.877
330,914.592
331,918.587
332,884.350
333,884.949
334,887.747
335,925.012
336,966.071
337,988.729
338,949.917
339,936.969
340,968.348
341,980.722
342,941.871
343,904.258
344,881.918
345,884.598
346,875.527
347,907.546
348,910.869
349,929.841
350,962.543
351,929.719
352,871.787
353,889.930
354,925.347
355,901.228
356,940.235
357,972.862
358,952.031
359,912.287
360,915.807
361,878.927
362,855.379
363,903.787
364,936.264
365,931.745
366,921.560
367,938.046
368,911.988
369,911.962
370,908.745
371,910.846
372,902.794
373,844.123
374,877.183
375,876.847
376,865.157
377,875.686
378,879.736
379,937.077
380,902.891
381,899.552
382,894.828
383,907.553
384,902.947
385,905.669
386,876.463
387,872.601
388,887.686
389,909.382
390,896.694
391,896.588
392,912.749
393,913.087
394,912.438
395,926.143
396,932.970
397,904.709
398,917.243
399,897.684
400,885.014
401,896.377
402,906.187
403,888.099
404,908.965
405,895.172
406,943.719
407,971.621
408,995.055
409,949.086
410,970.681
411,979.639
412,939.736
413,933.077
414,936.054
415,930.685
416,887.901
417,892.266
418,907.101
419,933.311
420,958.617
421,939.684
422,941.399
423,926.246
424,900.084
425,919.747
426,925.603
427,943.018
428,946.204
429,932.000
430,895.278
431,943.178
432,925.933
433,903.413
434,904.054
435,911.522
436,903.654
437,900.490
438,903.217
439,894.946
440,906.343
441,919.452
442,897.372
443,881.454
444,889.001
445,894.462
446,913.918
447,915.345
448,935.184
449,982.370
450,897.678
451,881.870
452,930.694
453,933.930
454,877.958
455,903.802
456,904.148
457,878.530
458,903.817
459,921.815
460,897.274
461,875.665
462,907.586
463,936.696
464,971.800
465,967.968
466,936.336
467,944.480
468,975.603
469,967.971
470,966.542
471,988.693
472,923.215
473,986.118
474,900.503
475,911.795
476,910.997
477,941.707
478,915.823
479,900.686
480,911.606
481,915.223
482,934.372
483,933.497
484,948.828
485,974.852
486,965.004
487,951.769
488,944.934
489,908.500
490,908.272
491,934.622
492,1000.280
493,1002.134
494,882.083
495,906.296
496,894.090
497,901.663
498,930.685
499,948.811
500,918.853
501,945.469
502,955.835
503,909.334
504,940.699
505,991.684
506,997.053
507,943.190
508,929.042
509,919.740
510,956.207
511,1017.993
512,1022.506
513,1068.213
514,1082.021
515,1064.776
516,1099.852
517,1110.414
518,1091.435
519,1060.677
520,1003.174
521,1023.712
522,1038.586
523,1110.350
524,1337.052
525,1535.931
526,1869.541
527,2120.840
528,2353.728
529,2390.996
530,2313.781
531,2082.832
532,1783.936
533,1589.950
534,1558.586
535,1904.402
536,2801.105
